Competition,,Matchday,Date,Venue,For,,Result,Pos.,Minute,At score,Type of goal,Goal assist
,Bundesliga,12,11/22/14,A,,Hannover 96 (4.),1:3,LW,58',0:2,Right-footed shot,Lars Bender
,Bundesliga,21,2/14/15,H,,VfL Wolfsburg (2.),4:5,LW,57',1:3,Right-footed shot,Karim Bellarabi
,,,,,,,,,62',2:3,Right-footed shot,Kyriakos Papadopoulos
,,,,,,,,,67',3:4,Left-footed shot,Gonzalo Castro
,Bundesliga,24,3/8/15,A,,SC Paderborn (16.),0:3,LW,84',0:2,Right-footed shot,Gonzalo Castro
,,,,,,,,,90'+3,0:3,Right-footed shot,
,Bundesliga,28,4/11/15,A,,1.FSV Mainz 05 (12.),2:3,LW,15',0:1,Left-footed shot,Hakan Çalhanoğlu
Season 15/16,,,,,,,,,,,,
,Europa League,group stage,9/17/15,H,,Qarabag FK,3:1,CF,28',1:1,,Andros Townsend
,,,,,,,,,30',2:1,,Dele Alli
,Premier League,6,9/20/15,H,,Crystal Palace (6.),1:0,SS,68',1:0,Left-footed shot,Christian Eriksen
,Premier League,19,12/28/15,A,,Watford (7.),1:2,CF,89',1:2,Right-footed shot,Kieran Trippier
,FA Cup,Third Round,1/20/16,A,,Leicester,0:2,CF,39',0:1,Right-footed shot,Tom Carroll
,Europa League,last 16,3/17/16,H,,Bor. Dortmund,1:2,CF,74',1:2,Right-footed shot,
,Premier League,36,5/2/16,A,,Chelsea (9.),2:2,RW,44',0:2,Right-footed shot,Christian Eriksen
,Premier League,37,5/8/16,H,,Southampton (7.),1:2,LW,16',1:0,Left-footed shot,Erik Lamela
Season 16/17,,,,,,,,,,,,
,Premier League,4,9/10/16,A,,Stoke City (20.),0:4,LW,41',0:1,Left-footed shot,Christian Eriksen
,,,,,,,,,56',0:2,Right-footed shot,Christian Eriksen
,Premier League,6,9/24/16,A,,Middlesbrough (13.),1:2,LW,7',0:1,Left-footed shot,Vincent Janssen
,,,,,,,,,23',0:2,Right-footed shot,
,Champions League,Group Stage,9/27/16,A,,CSKA Moscow,0:1,LW,71',0:1,Right-footed shot,Erik Lamela
,Premier League,14,12/3/16,H,,Swansea (19.),5:0,LW,45'+1,2:0,Right-footed shot,Christian Eriksen
,Premier League,18,12/28/16,A,,Southampton (7.),1:4,LW,85',1:3,Left-footed shot,Christian Eriksen
,FA Cup,Third Round,1/8/17,H,,Aston Villa,2:0,AM,80',2:0,Right-footed shot,Moussa Sissoko
,Premier League,22,1/21/17,A,,Man City (5.),2:2,LW,77',2:2,Right-footed shot,Harry Kane
,FA Cup,Fourth Round,1/28/17,H,,Wycombe,4:3,CF,60',1:2,Left-footed shot,
,,,,,,,,,90'+7,4:3,Right-footed shot,Vincent Janssen
,FA Cup,Sixth Round,3/12/17,H,,Millwall,6:0,CF,41',2:0,Left-footed shot,Eric Dier
,,,,,,,,,54',3:0,Right-footed shot,Kieran Trippier
,,,,,,,,,90'+2,6:0,Left-footed shot,Christian Eriksen
,Premier League,30,4/1/17,A,,Burnley (13.),0:2,CF,77',0:2,Left-footed shot,Dele Alli
,Premier League,31,4/5/17,A,,Swansea (17.),1:3,CF,90'+1,1:2,,Vincent Janssen
,Premier League,32,4/8/17,H,,Watford (10.),4:0,LW,44',3:0,Left-footed shot,Christian Eriksen
,,,,,,,,,54',4:0,Right-footed shot,Kieran Trippier
,Premier League,33,4/15/17,H,,Bournemouth (15.),4:0,LW,19',2:0,Right-footed shot,Harry Kane
,Premier League,34,5/18/17,A,,Leicester (12.),1:6,SS,36',0:2,Right-footed shot,Dele Alli
,,,,,,,,,71',1:4,Right-footed shot,Harry Kane
Season 17/18,,,,,,,,,,,,
,Champions League,Group Stage,9/13/17,H,,Bor. Dortmund,3:1,LW,4',1:0,Left-footed shot,Harry Kane
,Premier League,9,10/22/17,H,,Liverpool (8.),4:1,CF,12',2:0,Left-footed shot,Harry Kane
,Premier League,11,11/5/17,H,,Crystal Palace (20.),1:0,SS,64',1:0,Left-footed shot,
,Champions League,Group Stage,11/21/17,A,,Bor. Dortmund,1:2,AM,76',1:2,Right-footed shot,Dele Alli
,Premier League,15,12/2/17,A,,Watford (8.),1:1,LW,25',1:1,Right-footed shot,Christian Eriksen
,Champions League,Group Stage,12/6/17,H,,APOEL Nicosia,3:0,RW,37',2:0,Left-footed shot,Fernando Llorente
,Premier League,16,12/9/17,H,,Stoke City (13.),5:1,LW,53',2:0,Right-footed shot,Dele Alli
,Premier League,17,12/13/17,H,,Brighton (13.),2:0,AM,87',2:0,Header,Christian Eriksen
,Premier League,20,12/26/17,H,,Southampton (13.),5:2,LW,51',4:0,Right-footed shot,Dele Alli
,Premier League,21,1/4/18,H,,West Ham (17.),1:1,LW,84',1:1,,Erik Lamela
,Premier League,23,1/13/18,H,,Everton (9.),4:0,LW,26',1:0,Right-footed shot,Serge Aurier
,FA Cup,5th round,2/28/18,H,,Rochdale,6:1,LW,23',1:0,Right-footed shot,Erik Lamela
,,,,,,,,,65',5:1,Right-footed shot,Erik Lamela
,Premier League,29,3/3/18,H,,Huddersfield (14.),2:0,LW,27',1:0,Left-footed shot,Dele Alli
,,,,,,,,,54',2:0,Header,Harry Kane
,Champions League,last 16,3/7/18,H,,Juventus,1:2,LW,39',1:0,Right-footed shot,Kieran Trippier
,Premier League,30,3/11/18,A,,Bournemouth (12.),1:4,CF,62',1:2,Left-footed shot,Dele Alli
,,,,,,,,,87',1:3,Left-footed shot,Christian Eriksen
Season 18/19,,,,,,,,,,,,
